word_set,rule_set,affixes,r62_r63,n_signs,word_count,share_any_root,min_roots,median_roots,max_roots,mean_roots,share_paper_root,mean_paper_roots
real (read by the paper),full,on,off,5,14,1.0,31,174.0,290,169.43,1.0,4.929
real (read by the paper),full,on,off,6,12,1.0,40,176.5,289,180.42,1.0,5.083
real (read by the paper),full,on,off,7,3,1.0,153,171,238,187.33,1.0,4.667
real (read by the paper),full,on,off,8,2,0.5,0,5.0,10,5,0.0,0
real (read by the paper),full,on,off,all,96,0.9896,0,146.0,290,149.8,0.9271,3.417
real (never read),full,on,off,2,278,1.0,20,91.0,186,97.04,0.6799,1.626
real (never read),full,on,off,3,265,1.0,20,136,263,133.76,0.8566,2.358
real (never read),full,on,off,4,103,1.0,10,140,316,147.88,0.8155,2.874
real (never read),full,on,off,5,30,0.9667,0,157.0,288,143.13,0.8333,2.533
real (never read),full,on,off,6,8,0.875,0,96.5,179,88.38,0.875,2
real (never read),full,on,off,7,4,1.0,19,56.0,181,78,0.5,1.25
real (never read),full,on,off,9,1,0.0,0,0,0,0,0.0,0
real (never read),full,on,off,16,1,0.0,0,0,0,0,0.0,0
real (never read),full,on,off,19,1,0.0,0,0,0,0,0.0,0
real (never read),full,on,off,all,691,0.9928,0,119,316,120.07,0.7728,2.127
shuffled,full,on,off,2,239,1.0,20,97,186,96.17,0.6987,1.623
shuffled,full,on,off,3,1376,1.0,20,131.5,275,132.25,0.891,2.323
shuffled,full,on,off,4,1360,0.9985,0,136.5,333,140.7,0.861,2.638
shuffled,full,on,off,5,440,0.9773,0,139.5,288,131.5,0.8341,2.686
shuffled,full,on,off,6,200,0.91,0,93.5,283,100.3,0.75,2.535
shuffled,full,on,off,7,70,0.8857,0,48.0,291,74.37,0.6429,1.786
shuffled,full,on,off,8,20,0.3,0,0.0,136,14.35,0.15,0.25
shuffled,full,on,off,9,10,0.3,0,0.0,10,1.8,0.0,0
shuffled,full,on,off,16,10,0.0,0,0.0,0,0,0.0,0
shuffled,full,on,off,19,10,0.0,0,0.0,0,0,0.0,0
shuffled,full,on,off,all,3735,0.9788,0,127,333,128.44,0.8378,2.407
Linear A-like,full,on,off,2,2870,1.0,20,90.0,186,96.23,0.6024,1.432
Linear A-like,full,on,off,3,2880,1.0,12,135.0,275,133.34,0.8465,2.449
Linear A-like,full,on,off,4,1360,0.9985,0,145.0,322,143.22,0.8787,2.799
Linear A-like,full,on,off,5,440,0.9545,0,117.0,314,117.36,0.7773,2.398
Linear A-like,full,on,off,6,200,0.805,0,50.5,357,79.1,0.59,1.68
Linear A-like,full,on,off,7,70,0.4714,0,0.0,315,30.63,0.2571,0.514
Linear A-like,full,on,off,8,20,0.3,0,0.0,217,16.55,0.2,0.4
Linear A-like,full,on,off,9,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,on,off,16,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,on,off,19,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,on,off,all,7870,0.982,0,117.0,357,117.53,0.7426,2.085
real (all),full,off,on,2,287,1.0,20,92,197,99.11,0.7247,1.805
real (all),full,off,on,3,288,1.0,20,126.5,257,125.01,0.8507,2.208
real (all),full,off,on,4,136,1.0,10,121.5,229,115.43,0.8162,2.243
real (all),full,off,on,5,44,0.9545,0,55.5,243,73.75,0.7045,1.682
real (all),full,off,on,6,20,0.85,0,31.5,157,49.7,0.75,1.8
real (all),full,off,on,7,7,0.5714,0,2,22,8.43,0.4286,0.571
real (all),full,off,on,8,2,0.0,0,0.0,0,0,0.0,0
real (all),full,off,on,9,1,0.0,0,0,0,0,0.0,0
real (all),full,off,on,16,1,0.0,0,0,0,0,0.0,0
real (all),full,off,on,19,1,0.0,0,0,0,0,0.0,0
real (all),full,off,on,all,787,0.9835,0,110,257,107.3,0.7789,1.999
real (all),full,off,off,2,287,1.0,20,91,186,96.72,0.6864,1.648
real (all),full,off,off,3,288,1.0,20,125.0,232,122.55,0.8368,2.052
real (all),full,off,off,4,136,1.0,10,120.5,208,112.44,0.7794,2.051
real (all),full,off,off,5,44,0.9545,0,55.0,243,72.32,0.7045,1.636
real (all),full,off,off,6,20,0.85,0,31.5,157,46.8,0.75,1.6
real (all),full,off,off,7,7,0.5714,0,2,22,8.29,0.4286,0.571
real (all),full,off,off,8,2,0.0,0,0.0,0,0,0.0,0
real (all),full,off,off,9,1,0.0,0,0,0,0,0.0,0
real (all),full,off,off,16,1,0.0,0,0,0,0,0.0,0
real (all),full,off,off,19,1,0.0,0,0,0,0,0.0,0
real (all),full,off,off,all,787,0.9835,0,109,243,104.85,0.7535,1.844
real (read by the paper),full,off,off,2,9,1.0,43,76,138,86.89,0.8889,2.333
real (read by the paper),full,off,off,3,23,1.0,65,129,232,136.35,0.9565,2.043
real (read by the paper),full,off,off,4,33,1.0,18,122,198,118.24,0.8788,2.182
real (read by the paper),full,off,off,5,14,0.9286,0,74.5,243,91.14,0.8571,3.071
real (read by the paper),full,off,off,6,12,0.8333,0,22.0,117,44.33,0.75,1.833
real (read by the paper),full,off,off,7,3,0.3333,0,0,15,5,0.3333,0.667
real (read by the paper),full,off,off,8,2,0.0,0,0.0,0,0,0.0,0
real (read by the paper),full,off,off,all,96,0.9271,0,113.5,243,100.45,0.8438,2.156
real (never read),full,off,off,2,278,1.0,20,91.0,186,97.04,0.6799,1.626
real (never read),full,off,off,3,265,1.0,20,123,228,121.35,0.8264,2.053
real (never read),full,off,off,4,103,1.0,10,114,208,110.58,0.7476,2.01
real (never read),full,off,off,5,30,0.9667,0,47.0,240,63.53,0.6333,0.967
real (never read),full,off,off,6,8,0.875,0,43.0,157,50.5,0.75,1.25
real (never read),full,off,off,7,4,0.75,0,10.5,22,10.75,0.5,0.5
real (never read),full,off,off,9,1,0.0,0,0,0,0,0.0,0
real (never read),full,off,off,16,1,0.0,0,0,0,0,0.0,0
real (never read),full,off,off,19,1,0.0,0,0,0,0,0.0,0
real (never read),full,off,off,all,691,0.9913,0,109,240,105.47,0.741,1.8
shuffled,full,off,off,2,239,1.0,20,97,186,96.17,0.6987,1.623
shuffled,full,off,off,3,1376,1.0,20,122.0,229,121.51,0.8786,2.155
shuffled,full,off,off,4,1360,0.9949,0,116.0,235,113.89,0.8272,2.115
shuffled,full,off,off,5,440,0.9409,0,60.0,236,75.32,0.7295,1.552
shuffled,full,off,off,6,200,0.825,0,39.0,187,50.74,0.605,1.315
shuffled,full,off,off,7,70,0.6857,0,12.0,78,18.96,0.4571,0.657
shuffled,full,off,off,8,20,0.2,0,0.0,4,0.75,0.05,0.05
shuffled,full,off,off,9,10,0.0,0,0.0,0,0,0.0,0
shuffled,full,off,off,16,10,0.0,0,0.0,0,0,0.0,0
shuffled,full,off,off,19,10,0.0,0,0.0,0,0,0.0,0
shuffled,full,off,off,all,3735,0.9636,0,108,236,104.34,0.7968,1.934
Linear A-like,full,off,off,2,2870,1.0,20,90.0,186,96.23,0.6024,1.432
Linear A-like,full,off,off,3,2880,1.0,8,122.0,247,120.61,0.8243,2.164
Linear A-like,full,off,off,4,1360,0.9963,0,110.0,247,109.63,0.8309,2.069
Linear A-like,full,off,off,5,440,0.9136,0,47.5,263,64.25,0.6386,1.3
Linear A-like,full,off,off,6,200,0.6,0,7.0,215,23.85,0.32,0.51
Linear A-like,full,off,off,7,70,0.1857,0,0.0,81,2.6,0.0571,0.086
Linear A-like,full,off,off,8,20,0.15,0,0.0,17,1.8,0.05,0.05
Linear A-like,full,off,off,9,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,off,off,16,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,off,off,19,10,0.0,0,0.0,0,0,0.0,0
Linear A-like,full,off,off,all,7870,0.9712,0,104.0,263,102.4,0.7094,1.758
real (all),stated only,on,on,2,287,0.993,0,19,134,24.02,0.3763,0.533
real (all),stated only,on,on,3,288,0.816,0,7.0,134,15.82,0.2431,0.34
real (all),stated only,on,on,4,136,0.5588,0,1.0,135,8.31,0.1544,0.199
real (all),stated only,on,on,5,44,0.3409,0,0.0,47,5.5,0.1818,0.25
real (all),stated only,on,on,6,20,0.3,0,0.0,39,3.15,0.25,0.45
real (all),stated only,on,on,7,7,0.2857,0,0,90,18.29,0.1429,0.714
real (all),stated only,on,on,8,2,0.0,0,0.0,0,0,0.0,0
real (all),stated only,on,on,9,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,on,16,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,on,19,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,on,all,787,0.7865,0,10,135,16.53,0.2706,0.385
real (all),stated only,on,off,2,287,0.993,0,19,108,23.25,0.3449,0.488
real (all),stated only,on,off,3,288,0.816,0,7.0,108,15.35,0.2257,0.306
real (all),stated only,on,off,4,136,0.5588,0,1.0,135,8.15,0.1397,0.176
real (all),stated only,on,off,5,44,0.3409,0,0.0,47,5.5,0.1818,0.25
real (all),stated only,on,off,6,20,0.3,0,0.0,39,3.15,0.25,0.45
real (all),stated only,on,off,7,7,0.2857,0,0,90,18.29,0.1429,0.714
real (all),stated only,on,off,8,2,0.0,0,0.0,0,0,0.0,0
real (all),stated only,on,off,9,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,off,16,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,off,19,1,0.0,0,0,0,0,0.0,0
real (all),stated only,on,off,all,787,0.7865,0,10,135,16.06,0.2503,0.352
real (read by the paper),stated only,on,off,2,9,1.0,3,12,55,17.89,0.4444,0.444
real (read by the paper),stated only,on,off,3,23,0.8696,0,13,108,25.83,0.5652,0.826
real (read by the paper),stated only,on,off,4,33,0.6364,0,2,131,12.85,0.2424,0.333
real (read by the paper),stated only,on,off,5,14,0.5,0,0.5,47,13.64,0.4286,0.643
real (read by the paper),stated only,on,off,6,12,0.5,0,0.5,39,5.25,0.4167,0.75
real (read by the paper),stated only,on,off,7,3,0.6667,0,38,90,42.67,0.3333,1.667
real (read by the paper),stated only,on,off,8,2,0.0,0,0.0,0,0,0.0,0
real (read by the paper),stated only,on,off,all,96,0.6771,0,4.0,131,16.26,0.3854,0.594
real (never read),stated only,on,off,2,278,0.9928,0,20.0,108,23.43,0.3417,0.489
real (never read),stated only,on,off,3,265,0.8113,0,6,99,14.45,0.1962,0.26
